timestamp,x,y,mouse_click,active_window_title
2023-10-06 11:55:18.645601,2960,584,,Anaconda Powershell Prompt
2023-10-06 11:55:18.661353,2848,585,,Anaconda Powershell Prompt
2023-10-06 11:55:18.677353,2754,596,,Anaconda Powershell Prompt
2023-10-06 11:55:18.693401,2671,609,,Anaconda Powershell Prompt
2023-10-06 11:55:18.708101,2611,624,,Anaconda Powershell Prompt
2023-10-06 11:55:18.723402,2533,645,,Anaconda Powershell Prompt
2023-10-06 11:55:18.738520,2456,664,,Anaconda Powershell Prompt
2023-10-06 11:55:18.754506,1903,546,,Anaconda Powershell Prompt
2023-10-06 11:55:18.769942,1842,563,,Anaconda Powershell Prompt
2023-10-06 11:55:18.784887,1784,578,,Anaconda Powershell Prompt
2023-10-06 11:55:18.801607,1733,592,,Anaconda Powershell Prompt
2023-10-06 11:55:18.816349,1662,615,,Anaconda Powershell Prompt
2023-10-06 11:55:18.832151,1607,629,,Anaconda Powershell Prompt
2023-10-06 11:55:18.847632,1535,654,,Anaconda Powershell Prompt
2023-10-06 11:55:18.862940,1487,675,,Anaconda Powershell Prompt
2023-10-06 11:55:18.878483,1431,698,,Anaconda Powershell Prompt
2023-10-06 11:55:18.894330,1373,723,,Anaconda Powershell Prompt
2023-10-06 11:55:18.909622,1312,750,,Anaconda Powershell Prompt
2023-10-06 11:55:18.924481,1239,777,,Anaconda Powershell Prompt
2023-10-06 11:55:18.940554,1177,799,,Anaconda Powershell Prompt
2023-10-06 11:55:18.956213,1102,822,,Anaconda Powershell Prompt
2023-10-06 11:55:18.972063,1027,843,,Anaconda Powershell Prompt
2023-10-06 11:55:18.987865,957,859,,Anaconda Powershell Prompt
2023-10-06 11:55:19.003740,867,879,,Anaconda Powershell Prompt
2023-10-06 11:55:19.019250,769,892,,Anaconda Powershell Prompt
2023-10-06 11:55:19.034514,700,894,,Anaconda Powershell Prompt
2023-10-06 11:55:19.050027,608,894,,Anaconda Powershell Prompt
2023-10-06 11:55:19.065644,546,893,,Anaconda Powershell Prompt
2023-10-06 11:55:19.081382,502,889,,Anaconda Powershell Prompt
2023-10-06 11:55:19.096619,437,879,,Anaconda Powershell Prompt
2023-10-06 11:55:19.112230,385,870,,Anaconda Powershell Prompt
2023-10-06 11:55:19.127809,328,856,,Anaconda Powershell Prompt
2023-10-06 11:55:19.143285,286,843,,Anaconda Powershell Prompt
2023-10-06 11:55:19.158229,257,830,,Anaconda Powershell Prompt
2023-10-06 11:55:19.173529,221,810,,Anaconda Powershell Prompt
2023-10-06 11:55:19.188459,193,791,,Anaconda Powershell Prompt
2023-10-06 11:55:19.204130,176,777,,Anaconda Powershell Prompt
2023-10-06 11:55:19.219883,159,757,,Anaconda Powershell Prompt
2023-10-06 11:55:19.235149,141,732,,Anaconda Powershell Prompt
2023-10-06 11:55:19.250483,132,719,,Anaconda Powershell Prompt
2023-10-06 11:55:19.266179,123,702,,Anaconda Powershell Prompt
2023-10-06 11:55:19.282073,115,687,,Anaconda Powershell Prompt
2023-10-06 11:55:19.297589,113,679,,Anaconda Powershell Prompt
2023-10-06 11:55:19.312848,112,666,,Anaconda Powershell Prompt
2023-10-06 11:55:19.327800,112,654,,Anaconda Powershell Prompt
2023-10-06 11:55:19.343833,112,643,,Anaconda Powershell Prompt
2023-10-06 11:55:19.359371,112,632,,Anaconda Powershell Prompt
2023-10-06 11:55:19.375736,116,621,,Anaconda Powershell Prompt
2023-10-06 11:55:19.390559,125,606,,Anaconda Powershell Prompt
2023-10-06 11:55:19.406297,141,589,,Anaconda Powershell Prompt
2023-10-06 11:55:19.422275,163,570,,Anaconda Powershell Prompt
2023-10-06 11:55:19.437869,186,555,,Anaconda Powershell Prompt
2023-10-06 11:55:19.453849,210,540,,Anaconda Powershell Prompt
2023-10-06 11:55:19.469904,229,529,,Anaconda Powershell Prompt
2023-10-06 11:55:19.484768,254,517,,Anaconda Powershell Prompt
2023-10-06 11:55:19.500007,273,509,,Anaconda Powershell Prompt
2023-10-06 11:55:19.515889,299,501,,Anaconda Powershell Prompt
2023-10-06 11:55:19.531681,332,492,,Anaconda Powershell Prompt
2023-10-06 11:55:19.547345,368,485,,Anaconda Powershell Prompt
2023-10-06 11:55:19.563337,420,476,,Anaconda Powershell Prompt
2023-10-06 11:55:19.579179,503,467,,Anaconda Powershell Prompt
2023-10-06 11:55:19.595103,572,465,,Anaconda Powershell Prompt
2023-10-06 11:55:19.610229,631,464,,Anaconda Powershell Prompt
2023-10-06 11:55:19.625234,681,464,,Anaconda Powershell Prompt
2023-10-06 11:55:19.640733,815,460,,Anaconda Powershell Prompt
2023-10-06 11:55:19.655693,873,460,,Anaconda Powershell Prompt
2023-10-06 11:55:19.671441,988,457,,Anaconda Powershell Prompt
2023-10-06 11:55:19.686992,1124,455,,Anaconda Powershell Prompt
2023-10-06 11:55:19.702654,1321,453,,Anaconda Powershell Prompt
2023-10-06 11:55:19.717782,1378,453,,Anaconda Powershell Prompt
2023-10-06 11:55:19.733387,1517,453,,Anaconda Powershell Prompt
2023-10-06 11:55:19.748531,1632,453,,Anaconda Powershell Prompt
2023-10-06 11:55:19.764585,1798,453,,Anaconda Powershell Prompt
2023-10-06 11:55:19.780571,1883,453,,Anaconda Powershell Prompt
2023-10-06 11:55:19.796647,2476,566,,Anaconda Powershell Prompt
2023-10-06 11:55:19.811865,2508,566,,Anaconda Powershell Prompt
2023-10-06 11:55:19.827750,2654,566,,Anaconda Powershell Prompt
2023-10-06 11:55:19.843209,2739,566,,Anaconda Powershell Prompt
2023-10-06 11:55:19.858369,2824,569,,Anaconda Powershell Prompt
2023-10-06 11:55:19.873956,2903,569,,Anaconda Powershell Prompt
2023-10-06 11:55:19.889366,2969,566,,Anaconda Powershell Prompt
2023-10-06 11:55:19.904168,3024,558,,Anaconda Powershell Prompt
2023-10-06 11:55:19.920038,3068,548,,Anaconda Powershell Prompt
2023-10-06 11:55:19.936334,3108,538,,Anaconda Powershell Prompt
2023-10-06 11:55:19.951019,3129,531,,Anaconda Powershell Prompt
2023-10-06 11:55:19.966614,3174,511,,Anaconda Powershell Prompt
2023-10-06 11:55:19.982200,3195,499,,Anaconda Powershell Prompt
2023-10-06 11:55:19.997405,3204,493,,Anaconda Powershell Prompt
2023-10-06 11:55:20.012395,3229,471,,Anaconda Powershell Prompt
2023-10-06 11:55:20.027894,3236,461,,Anaconda Powershell Prompt
